pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag_x,leverage,is_short,open_timestamp,close_timestamp,orders,funding_fees,weekday,signal_date,profit_pct,date,enter_tag_y,open,high,low,close,volume,trade_center_shift_up,near_major_high,high_base_compression,base_tight,major_breakout,breakout_volume_expansion,bull_body_expansion,rsi,rsi_1d,downtrend_1d,bear_exhaustion_1d,daily_center_lifting,daily_not_making_new_lows,daily_not_breaking_down,close_1d,ema_slow_1d,mature_high_base,breakout_close_near_high,breakout_body_strength,breakout_distance_ok,breakout_daily_bias_ok,long_breakout_probe
BTC/USDT:USDT,307.4486,307.4486,0.005,2021-10-15 17:00:00+00:00,2021-10-15 22:00:00+00:00,61489.72,61275.25,0.0005,0.0005,300,-0.004483914200384343,-1.37926243,swing_exit_long_1h,60259.93,-0.02,60259.93,-0.020000000000000018,60806.75,63997.61,False,long_1h_highbase_breakout,1.0,False,1634317200000,1634335200000,"[{'amount': 0.005, 'safe_price': 61489.72, 'ft_order_side': 'buy', 'order_filled_timestamp': 1634317200000, 'ft_is_entry': True, 'ft_order_tag': 'long_1h_highbase_breakout', 'cost': 307.60232429999996}, {'amount': 0.005, 'safe_price': 61275.25, 'ft_order_side': 'sell', 'order_filled_timestamp': 1634335200000, 'ft_is_entry': False, 'ft_order_tag': 'swing_exit_long_1h', 'cost': 306.529438125}]",0.0,4,2021-10-15 16:00:00+00:00,-0.4483914200384343,2021-10-15 16:00:00+00:00,long_1h_highbase_breakout,60086.78,61600.0,60040.55,61489.72,44099.834,True,True,True,True,True,True,True,76.55878186867405,68.43683458405638,False,False,False,True,True,57378.19,50416.64451914725,True,True,True,True,True,True
BTC/USDT:USDT,330.69625,330.69625,0.005,2021-10-20 14:00:00+00:00,2021-10-20 20:00:00+00:00,66139.25,65822.0,0.0005,0.0005,360,-0.00643086013021113,-2.12772466,trailing_stop_loss,64816.47,-0.02,65822.0,-0.010187004610415329,65730.72,67150.0,False,long_1h_highbase_breakout,1.0,False,1634738400000,1634760000000,"[{'amount': 0.005, 'safe_price': 66139.25, 'ft_order_side': 'buy', 'order_filled_timestamp': 1634738400000, 'ft_is_entry': True, 'ft_order_tag': 'long_1h_highbase_breakout', 'cost': 330.861598125}, {'amount': 0.005, 'safe_price': 65822.0, 'ft_order_side': 'sell', 'order_filled_timestamp': 1634760000000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 329.274555}]",-0.21157153563303308,2,2021-10-20 13:00:00+00:00,-0.643086013021113,2021-10-20 13:00:00+00:00,long_1h_highbase_breakout,64431.93,66415.01,64210.0,66140.27,55570.727,True,True,True,True,True,True,True,80.45539944268745,76.39685727108547,False,False,False,True,True,64316.7,53757.28862290966,True,True,True,True,True,True
BTC/USDT:USDT,325.4858,325.4858,0.005,2021-11-08 01:00:00+00:00,2021-11-08 13:00:00+00:00,65097.16,65415.1,0.0005,0.0005,720,0.0033799475047489916,1.10067498,trailing_stop_loss,63795.22,-0.02,65415.1,-0.011851569652839622,65010.33,66499.0,False,long_1h_highbase_breakout,1.0,False,1636333200000,1636376400000,"[{'amount': 0.005, 'safe_price': 65097.16, 'ft_order_side': 'buy', 'order_filled_timestamp': 1636333200000, 'ft_is_entry': True, 'ft_order_tag': 'long_1h_highbase_breakout', 'cost': 325.6485429}, {'amount': 0.005, 'safe_price': 65415.1, 'ft_order_side': 'sell', 'order_filled_timestamp': 1636376400000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 327.23903774999997}]",-0.16274436811200002,0,2021-11-08 00:00:00+00:00,0.3379947504748992,2021-11-08 00:00:00+00:00,long_1h_highbase_breakout,63316.4,65122.0,63308.7,65097.19,38964.693,True,True,True,True,True,True,True,86.6455747483632,59.70016856211567,False,True,True,True,True,63316.4,59527.829195876424,True,True,True,True,True,True
ZEC/USDT:USDT,331.51222,331.51222,1.807,2021-11-09 10:00:00+00:00,2021-11-09 11:00:00+00:00,183.46,179.8,0.0005,0.0005,60,-0.020929413195942093,-6.94182541,stop_loss,179.8,-0.02,179.8,-0.019999999999999907,179.0,185.86,False,long_1h_highbase_breakout,1.0,False,1636452000000,1636455600000,"[{'amount': 1.807, 'safe_price': 183.46, 'ft_order_side': 'buy', 'order_filled_timestamp': 1636452000000, 'ft_is_entry': True, 'ft_order_tag': 'long_1h_highbase_breakout', 'cost': 331.67797611}, {'amount': 1.807, 'safe_price': 179.8, 'ft_order_side': 'sell', 'order_filled_timestamp': 1636455600000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 325.0610493}]",0.0,1,2021-11-09 09:00:00+00:00,-2.0929413195942095,2021-11-09 09:00:00+00:00,long_1h_highbase_breakout,179.03,184.47,178.46,183.41,52248.482,True,True,True,True,True,True,True,83.0274438149739,61.08778530433754,False,False,False,True,True,170.96,154.16914347931126,True,True,True,True,True,True
BNB/USDT:USDT,273.775,273.775,0.94,2022-07-29 10:00:00+00:00,2022-07-29 11:00:00+00:00,291.25,285.43,0.0005,0.0005,60,-0.020962360021705886,-5.7418396,stop_loss,285.43,-0.02,285.43,-0.019999999999999907,283.31,293.25,False,long_1h_highbase_breakout,1.0,False,1659088800000,1659092400000,"[{'amount': 0.94, 'safe_price': 291.25, 'ft_order_side': 'buy', 'order_filled_timestamp': 1659088800000, 'ft_is_entry': True, 'ft_order_tag': 'long_1h_highbase_breakout', 'cost': 273.9118875}, {'amount': 0.94, 'safe_price': 285.43, 'ft_order_side': 'sell', 'order_filled_timestamp': 1659092400000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 268.4383521}]",0.0,4,2022-07-29 09:00:00+00:00,-2.096236002170589,2022-07-29 09:00:00+00:00,long_1h_highbase_breakout,280.51,292.51,279.44,291.24,272813.8,True,True,True,True,True,True,True,75.99805934508885,62.79509494647074,False,False,False,True,True,277.1,251.17814117617257,True,True,True,True,True,True
BNB/USDT:USDT,239.0,239.0,0.8,2022-07-29 16:00:00+00:00,2022-07-29 23:00:00+00:00,298.75,293.08,0.0005,0.0005,420,-0.01995961015308246,-4.772732,trailing_stop_loss,292.78,-0.02,293.08,-0.020552752063630053,292.6,302.57,False,long_1h_highbase_breakout,1.0,False,1659110400000,1659135600000,"[{'amount': 0.8, 'safe_price': 298.75, 'ft_order_side': 'buy', 'order_filled_timestamp': 1659110400000, 'ft_is_entry': True, 'ft_order_tag': 'long_1h_highbase_breakout', 'cost': 239.1195}, {'amount': 0.8, 'safe_price': 293.08, 'ft_order_side': 'sell', 'order_filled_timestamp': 1659135600000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 234.58123199999997}]",0.0,4,2022-07-29 15:00:00+00:00,-1.9959610153082459,2022-07-29 15:00:00+00:00,long_1h_highbase_breakout,290.72,299.12,290.16,298.74,317498.67,True,True,True,True,True,True,True,74.31412287756967,62.79509494647074,False,False,False,True,True,277.1,251.17814117617257,True,True,True,True,True,True
BTC/USDT:USDT,217.3032,217.3032,0.009,2023-02-15 21:00:00+00:00,2023-02-16 07:00:00+00:00,24144.8,24597.9,0.0005,0.0005,600,0.017646952508636838,3.83665662,swing_exit_long_1h,23662.0,-0.02,24578.0,-0.0030017848450429874,24011.0,24934.1,False,long_1h_highbase_breakout,1.0,False,1676494800000,1676530800000,"[{'amount': 0.009, 'safe_price': 24144.8, 'ft_order_side': 'buy', 'order_filled_timestamp': 1676494800000, 'ft_is_entry': True, 'ft_order_tag': 'long_1h_highbase_breakout', 'cost': 217.41185159999998}, {'amount': 0.009, 'safe_price': 24597.9, 'ft_order_side': 'sell', 'order_filled_timestamp': 1676530800000, 'ft_is_entry': False, 'ft_order_tag': 'swing_exit_long_1h', 'cost': 221.49179055}]",-0.02190123,3,2023-02-15 20:00:00+00:00,1.7646952508636837,2023-02-15 20:00:00+00:00,long_1h_highbase_breakout,23310.6,24357.0,23285.9,24144.8,173137.88,True,True,True,True,True,True,True,89.88710983708769,52.13739037072248,False,False,False,True,True,22187.4,21880.111957006266,True,True,True,True,True,True
ZEC/USDT:USDT,252.29295,252.29295,9.191,2023-10-23 23:00:00+00:00,2023-10-24 06:00:00+00:00,27.45,27.09,0.0005,0.0005,420,-0.014200425760398086,-3.58445864,trailing_stop_loss,26.91,-0.02,27.09,-0.01455074572571835,26.95,27.94,False,long_1h_highbase_breakout,1.0,False,1698102000000,1698127200000,"[{'amount': 9.191, 'safe_price': 27.45, 'ft_order_side': 'buy', 'order_filled_timestamp': 1698102000000, 'ft_is_entry': True, 'ft_order_tag': 'long_1h_highbase_breakout', 'cost': 252.419096475}, {'amount': 9.191, 'safe_price': 27.09, 'ft_order_side': 'sell', 'order_filled_timestamp': 1698127200000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 249.108682095}]",-0.025060071760178004,1,2023-10-23 22:00:00+00:00,-1.4200425760398085,2023-10-23 22:00:00+00:00,long_1h_highbase_breakout,26.69,27.53,26.66,27.46,89983.667,True,True,True,True,True,True,True,78.25974085157557,52.430654891974896,False,False,False,True,True,25.87,25.672965773061485,True,True,True,True,True,True
BNB/USDT:USDT,294.3621,294.3621,0.81,2024-02-15 15:00:00+00:00,2024-02-15 16:00:00+00:00,363.41,356.15,0.0005,0.0005,60,-0.020956968751528582,-6.1720218,stop_loss,356.15,-0.02,356.15,-0.019999999999999907,355.2,366.4,False,long_1h_highbase_breakout,1.0,False,1708009200000,1708012800000,"[{'amount': 0.81, 'safe_price': 363.41, 'ft_order_side': 'buy', 'order_filled_timestamp': 1708009200000, 'ft_is_entry': True, 'ft_order_tag': 'long_1h_highbase_breakout', 'cost': 294.50928105}, {'amount': 0.81, 'safe_price': 356.15, 'ft_order_side': 'sell', 'order_filled_timestamp': 1708012800000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 288.62574075}]",0.0,3,2024-02-15 14:00:00+00:00,-2.095696875152858,2024-02-15 14:00:00+00:00,long_1h_highbase_breakout,352.54,363.67,352.13,363.4,353154.92,True,True,True,True,True,True,True,86.23240610082966,67.45538966404092,False,False,False,True,True,333.47,310.5643166394239,True,True,True,True,True,True
BNB/USDT:USDT,253.1012,253.1012,0.44,2024-03-13 09:00:00+00:00,2024-03-14 05:00:00+00:00,575.23,612.2,0.0005,0.0005,1200,0.062129059918285275,15.73280209,structure_exit_long_1h,563.73,-0.02,607.0,-0.01903746080998092,572.01,634.68,False,long_1h_highbase_breakout,1.0,False,1710320400000,1710392400000,"[{'amount': 0.44, 'safe_price': 575.23, 'ft_order_side': 'buy', 'order_filled_timestamp': 1710320400000, 'ft_is_entry': True, 'ft_order_tag': 'long_1h_highbase_breakout', 'cost': 253.22775059999998}, {'amount': 0.44, 'safe_price': 612.2, 'ft_order_side': 'sell', 'order_filled_timestamp': 1710392400000, 'ft_is_entry': False, 'ft_order_tag': 'structure_exit_long_1h', 'cost': 269.502684}]",-0.27276330658116105,3,2024-03-13 08:00:00+00:00,6.212905991828528,2024-03-13 08:00:00+00:00,long_1h_highbase_breakout,561.37,579.0,560.88,575.23,275851.41,True,True,True,True,True,True,True,80.0182708408054,81.48939409651665,False,False,False,True,True,537.69,418.7251355199125,True,True,True,True,True,True
BNB/USDT:USDT,447.9319,447.9319,0.71,2024-05-21 08:00:00+00:00,2024-05-21 08:00:00+00:00,630.89,618.28,0.0005,0.0005,0,-0.021157011210599326,-9.48163868,stop_loss,618.28,-0.02,618.28,-0.020000000000000018,617.88,631.36,False,long_1h_highbase_breakout,1.0,False,1716278400000,1716278400000,"[{'amount': 0.71, 'safe_price': 630.89, 'ft_order_side': 'buy', 'order_filled_timestamp': 1716278400000, 'ft_is_entry': True, 'ft_order_tag': 'long_1h_highbase_breakout', 'cost': 448.15586594999996}, {'amount': 0.71, 'safe_price': 618.28, 'ft_order_side': 'sell', 'order_filled_timestamp': 1716278400000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 439.19828939999996}]",-0.08508333399365399,1,2024-05-21 07:00:00+00:00,-2.115701121059933,2024-05-21 07:00:00+00:00,long_1h_highbase_breakout,610.79,632.89,610.33,630.9,457657.42,True,True,True,True,True,True,True,83.12888350637805,56.21063704024252,False,False,False,True,True,599.71,581.3581906108031,True,True,True,True,True,True
ZEC/USDT:USDT,519.95856,519.95856,12.496,2025-04-01 16:00:00+00:00,2025-04-01 16:00:00+00:00,41.61,40.78,0.0005,0.0005,0,-0.020011061801849594,-10.41012534,stop_loss,40.78,-0.02,40.78,-0.020000000000000018,40.58,42.53,False,long_1h_highbase_breakout,1.0,False,1743523200000,1743523200000,"[{'amount': 12.496, 'safe_price': 41.61, 'ft_order_side': 'buy', 'order_filled_timestamp': 1743523200000, 'ft_is_entry': True, 'ft_order_tag': 'long_1h_highbase_breakout', 'cost': 520.21853928}, {'amount': 12.496, 'safe_price': 40.78, 'ft_order_side': 'sell', 'order_filled_timestamp': 1743523200000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 509.84167343999997}]",0.47632737731155356,1,2025-04-01 15:00:00+00:00,-2.0011061801849594,2025-04-01 15:00:00+00:00,long_1h_highbase_breakout,39.84,42.12,39.84,41.61,77711.085,True,True,True,True,True,True,True,75.36233055017007,62.33755438436356,False,False,False,True,True,39.34,34.97639541859001,True,True,True,True,True,True
BNB/USDT:USDT,540.0432,540.0432,0.81,2025-05-10 00:00:00+00:00,2025-05-10 04:00:00+00:00,666.72,662.17,0.0005,0.0005,240,-0.007817133250029652,-4.22370045,swing_exit_long_1h,653.39,-0.02,653.39,-0.019999999999999907,655.38,679.29,False,long_1h_highbase_breakout,1.0,False,1746835200000,1746849600000,"[{'amount': 0.81, 'safe_price': 666.72, 'ft_order_side': 'buy', 'order_filled_timestamp': 1746835200000, 'ft_is_entry': True, 'ft_order_tag': 'long_1h_highbase_breakout', 'cost': 540.3132216}, {'amount': 0.81, 'safe_price': 662.17, 'ft_order_side': 'sell', 'order_filled_timestamp': 1746849600000, 'ft_is_entry': False, 'ft_order_tag': 'swing_exit_long_1h', 'cost': 536.62587885}]",0.0,5,2025-05-09 23:00:00+00:00,-0.7817133250029652,2025-05-09 23:00:00+00:00,long_1h_highbase_breakout,644.19,671.3,644.02,666.72,190763.82,True,True,True,True,True,True,True,81.35428178459502,74.56712388262761,False,True,True,True,True,666.72,604.3776968663088,True,True,True,True,True,True
ZEC/USDT:USDT,454.19086,454.19086,9.991,2025-09-06 22:00:00+00:00,2025-09-07 10:00:00+00:00,45.46,46.66,0.0005,0.0005,720,0.025163023409099008,11.43452965,trailing_stop_loss,44.56,-0.02,46.66,-0.013739167195096269,45.4,47.9,False,long_1h_highbase_breakout,1.0,False,1757196000000,1757239200000,"[{'amount': 9.991, 'safe_price': 45.46, 'ft_order_side': 'buy', 'order_filled_timestamp': 1757196000000, 'ft_is_entry': True, 'ft_order_tag': 'long_1h_highbase_breakout', 'cost': 454.41795542999995}, {'amount': 9.991, 'safe_price': 46.66, 'ft_order_side': 'sell', 'order_filled_timestamp': 1757239200000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 466.41315002999994}]",-0.09448488700000002,6,2025-09-06 21:00:00+00:00,2.516302340909901,2025-09-06 21:00:00+00:00,long_1h_highbase_breakout,44.45,45.62,44.34,45.45,42815.987,True,True,True,True,True,True,True,85.52385955312832,52.172852317731746,False,False,False,True,True,41.04,40.370591984721834,True,True,True,True,True,True
ZEC/USDT:USDT,611.22604,611.22604,9.326,2025-09-29 01:00:00+00:00,2025-09-29 01:00:00+00:00,65.54,64.23,0.0005,0.0005,0,-0.020967316158826292,-12.82217751,stop_loss,64.23,-0.02,64.23,-0.020000000000000018,63.32,66.56,False,long_1h_highbase_breakout,1.0,False,1759107600000,1759107600000,"[{'amount': 9.326, 'safe_price': 65.54, 'ft_order_side': 'buy', 'order_filled_timestamp': 1759107600000, 'ft_is_entry': True, 'ft_order_tag': 'long_1h_highbase_breakout', 'cost': 611.5316530200001}, {'amount': 9.326, 'safe_price': 64.23, 'ft_order_side': 'sell', 'order_filled_timestamp': 1759107600000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 599.3084844900001}]",0.0,0,2025-09-29 00:00:00+00:00,-2.096731615882629,2025-09-29 00:00:00+00:00,long_1h_highbase_breakout,61.02,65.76,61.01,65.54,132250.019,True,True,True,True,True,True,True,88.02961462068001,67.48573997747508,False,True,True,True,True,61.03,50.19796324704041,True,True,True,True,True,True
ZEC/USDT:USDT,687.33287,687.33287,2.221,2026-04-07 22:00:00+00:00,2026-04-08 17:00:00+00:00,309.47,328.43,0.0005,0.0005,1140,0.06192690969328317,42.58568277,structure_exit_long_1h,303.29,-0.02,325.0,-0.02577937649880102,306.77,339.85,False,long_1h_highbase_breakout,1.0,False,1775599200000,1775667600000,"[{'amount': 2.221, 'safe_price': 309.47, 'ft_order_side': 'buy', 'order_filled_timestamp': 1775599200000, 'ft_is_entry': True, 'ft_order_tag': 'long_1h_highbase_breakout', 'cost': 687.676536435}, {'amount': 2.221, 'safe_price': 328.43, 'ft_order_side': 'sell', 'order_filled_timestamp': 1775667600000, 'ft_is_entry': False, 'ft_order_tag': 'structure_exit_long_1h', 'cost': 729.807751515}]",1.1839107176641002,2,2026-04-07 21:00:00+00:00,6.192690969328317,2026-04-07 21:00:00+00:00,long_1h_highbase_breakout,276.83,320.0,276.79,309.47,694847.535,True,True,True,True,True,True,True,88.14062625888931,55.67585251053124,False,False,False,True,True,251.33,237.21775781769045,True,True,True,True,True,True
